parameter_name,sub_parameter_name,param_unit,ts,value,Current_Mean_Value,Current_Sigma_Value,Design_Value
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:22,881.580391,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:21,890.4078482,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:20,885.2319296,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:19,868.3229107,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:18,866.1328246,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:17,882.3351537,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:16,891.6925325,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:15,890.3216743,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:14,880.5450053,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:13,883.7749156,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:12,878.6479439,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:11,877.7446623,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:10,882.2945958,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:09,891.2367034,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:08,898.9860667,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:07,895.6330839,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:06,886.6550082,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:05,873.2493954,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:04,876.1382541,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:03,885.0764125,892.9733333,12.72796353,920
